job_id,job_name,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num
86012373,儲備 幹部,3,30000,50000,0,0,8,1,1
91550634,營運儲備主管,3,32000,32000,3,0,9.50,1,1
91550588,總經理特助,4,40000,\N,10,0,8,1,1
91550268,管理部經理,0,35000,35000,0,0,9.00,1,1
91550006,【花蓮館-駐館主管】月薪四萬以上(可議),3,40000,\N,5,0,8,3,1
91548519,廠主管(污水處理廠)-竹北,4,40000,\N,4,0,9.00,1,1
91548142,管理部主任,4,30000,30000,3,0,9.50,1,1
91548052,高級社區經理(太平區),3,38000,42000,3,0,8,1,1
91546916,總經理特助,4,40000,\N,5,0,8,1,1
91542263,店長,0,35000,60000,0,0,8,3,1
91536668,協理,0,40000,\N,0,0,9.00,1,1
91536362,微風集團_餐飲事業營運主管,3,38000,45000,3,0,8,3,1
91532372,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532370,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532365,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532364,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532363,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532360,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532356,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532350,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532345,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532343,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532342,TB儲備區經理(桃竹苗區),3,32000,40000,3,0,8,3,1
91532243,微風集團-百貨營業主管,3,40000,\N,5,0,8,1,1
91516438,儲備主管,3,40000,\N,0,0,9.00,1,2
91507170,餐飲品牌副總,4,40000,\N,8,0,9.00,1,1
91506153,【拓展計劃】儲備幹部 - 管理組 (明確升遷管道，無經驗可),0,24000,35000,0,0,10.00,1,0
91500879,業務主管★薪優★環境佳★主管、同仁好相處★,3,40000,\N,3,0,8,1,1
91484248,總公司-採購經理,4,40000,\N,10,0,9.00,1,1
91480278,管理部經理,3,40000,\N,3,0,8,1,1
91473429,業務部經理,0,35000,55000,5,0,8,1,1
91463856,產品經理（數值策劃）,4,60000,120000,3,0,8,1,1
91460317,微風集團-營業招商理階主管,4,40000,\N,10,0,8,3,2
91458517,遊戲PM,3,80000,80000,5,0,9.00,1,1
91455522,投融總監,4,50000,50000,1,0,9.50,1,2
91452310,三商家購-美廉社-儲備區督導(竹苗區域),3,32000,40000,3,0,8,3,1
