com_id,com_name,capital,emp_num,addr
51723912,三揚玻璃儀器有限公司,62,\N,新竹市北區天府路一段370號
69425030,威齊織品科技有限公司,263,\N,高雄市鳳山區文龍東路33號
73173619,圓方應用材料有限公司(圓方生活),61,\N,新竹市東區光復路二段101號(清大創新育成大樓613室)
72118943,十邦國際開發有限公司,258,\N,高雄市新興區民生一路31號6樓之2
51688232,鮪魚家族-黑鮪魚大飯店股份有限公司,258,30,高雄市新興區八德二路10號
49832282,上水股份有限公司,9,330,台北市中山區德惠街16之5號6樓
73188868,多芬建設股份有限公司,113,10,台中市西屯區河南路二段262號12樓之13
9655047,居之友公寓大廈管理維護股份有限公司(居之友保全)(居之友公寓大廈管理維護股份有限公司、居之友保全股份有限公司),110,\N,台中市西區公益路130號8樓
9528653,台灣愛德克股份有限公司,267,130,高雄市仁武區竹後里水管路87號
69386601,全國不動產中華加盟店(正一實業社)(全國不動產),257,\N,高雄市前金區河南二路121號
72564264,立捷建設股份有限公司,11,60,台北市大安區信義路三段162之6號 (捷運大安站3號出口)
490030,微風廣場實業股份有限公司,13,1000,台北市信義區忠孝東路五段68號
72428992,三商家購股份有限公司,9,\N,台北市中山區民權東路三段4號地下一樓
73133042,上宸資產,215,\N,台南市中西區民權路四段558號
290420,爭鮮股份有限公司,13,6000,台北市信義區忠孝東路四段559巷16弄21號
71712597,蒙恩國際商業有限公司,259,\N,高雄市苓雅區光華一路206號23樓之6
71681479,昇福國際開發股份有限公司(蘭陽烏石港海景酒店),16,\N,台北市內湖區文湖街21巷118弄36號1樓
2788014,佳瑪百貨股份有限公司,28,500,新北市蘆洲區長榮路6號
36200515,東益國際股份有限公司,254,\N,高雄市鼓山區中華一路820號6樓
69436618,VIRON,\N,\N,東南亞菲律賓Yuchengco Tower 1 RCBC Plaza Ayala Ave. Makati City
72183890,戲雨國際股份有限公司,116,\N,台中市大里區泉水街86號5樓(大里軟體科技園區)
72163644,台灣孵化器股份有限公司,125,\N,台中市大雅區科雅路6號(中部科學園區)
69622489,凡恩物流股份有限公司,53,100,桃園市蘆竹區海山路一段394巷52之2號
69358750,蔡佳祝皮膚科及醫美中心/蔡昌學復健科診所(anya雅研醫美集團),253,40,高雄市左營區崇德路287號
9635172,媽咪樂居家服務集團(媽咪樂居家服務集團),253,300,高雄市左營區富民路453號
51445961,高雄杏和醫院,263,\N,高雄市鳳山區五甲二路389號
51570815,香格里拉台南遠東國際大飯店_遠鼎股份有限公司台南分公司(香格里拉台南遠東國際大飯店),216,430,台南市東區大學路西段89號
8945660,盈太企業股份有限公司,16,5000,台北市內湖區舊宗路一段150巷25號
51651101,業傑企業有限公司(業傑室內設計),49,\N,桃園市中壢區環北路398號13樓之2
71955499,伊特妮有限公司(Adore Cosmetics),259,10,高雄市苓雅區四維四路199號12樓A3室
36005561,科見美語(科見語文文理短期補習班),9,500,台北市中山區松江路90巷9號6樓
71977785,"第一名店股份有限公司(香菇王,第一超市,第一名店)",10,\N,台北市松山區南京東路三段346號9樓902室
33867676,光發鍍金股份有限公司,56,50,桃園市龜山區萬壽路一段1699號
71485742,中信房屋大里中興加盟店_東皇不動產經紀股份有限公司(總管家租賃住宅服務股份有限公司),116,25,台中市大里區中興路二段103之1號(大里軟體科技園區)
71952147,香港美倫珠寶有限公司,11,\N,台北市大安區忠孝東路四段216巷8弄20號
50951034,晁揚室內裝修實業有限公司,111,\N,台中市北區國豐街124、126號
2800485,SWISSPA瑞醫科技美容集團(總公司)(想容國際有限公司),11,100,台北市大安區復興南路二段131號5樓
