com_id,com_name,capital,emp_num,addr
49832282,上水股份有限公司,9,330,台北市中山區德惠街16之5號6樓
73188868,多芬建設股份有限公司,113,10,台中市西屯區河南路二段262號12樓之13
9655047,居之友公寓大廈管理維護股份有限公司(居之友保全)(居之友公寓大廈管理維護股份有限公司、居之友保全股份有限公司),110,\N,台中市西區公益路130號8樓
9900523,貿錦產業有限公司,9,5,台北市中山區復興北路181號3樓之3
68651257,傑明皇家保全股份有限公司,21,250,新北市中和區中山路二段296號3樓之6
71704695,圓稼嚼感奶茶,127,\N,台中市大肚區中沙路168號
1901749,新東陽股份有限公司,11,800,台北市大安區忠孝東路四段289號8樓
71173257,"魅奇學娛樂工作坊(ＣＭ魅奇學院,酷Magic魔幻娛樂)",19,10,新北市板橋區中正路112號1樓
490030,微風廣場實業股份有限公司,13,1000,台北市信義區忠孝東路五段68號
71535270,鋐特科技股份有限公司(TWUP),\N,300,暫不提供
73133042,上宸資產,215,\N,台南市中西區民權路四段558號
1815074,(花蓮美侖大飯店)宜津企業股份有限公司花蓮分公司,329,260,花蓮縣花蓮市林園1之1號
69043097,廣三崇光國際開發股份有限公司,110,\N,台中市西區臺灣大道二段459號
8325616,大成長城企業股份有限公司 (大成長城)(大成集團),221,2900,台南市永康區蔦松二街3號
73168557,聯崴生技股份有限公司,43,80,新北市新店區中正路529號6樓
48882616,高雄不動產開發有限公司(土地王),265,50,高雄市鳥松區中正路291號
1095547,中強光電股份有限公司(中光電),61,\N,新竹市東區新竹科學工業園區力行路11號(新竹科學園區)
68757940,鈦鼎科技股份有限公司,23,40,新北市土城區忠承路99號9樓
416149,微微笑廣播(下港之聲放送頭廣播股份有限公司),258,50,高雄市新興區德順街11號
2133645,台灣櫻花股份有限公司,125,950,台中市大雅區雅潭路四段436號
72572405,美商恩傑有限公司,23,\N,新北市土城區忠承路95號7樓(永寧科技園區)
3225217,鑫鋒國際企業股份有限公司,220,45,台南市安南區科技二路3號(台南科技工業區)
35945028,"典華婚訂資源整合股份有限公司(豐FOOD百匯,典華雅聚)",9,300,台北市中山區植福路8號
10002815,勤億蛋品科技股份有限公司(勤億蛋品),48,180,桃園市桃園區中正路1067號4樓
69455514,(我家牛排中和連城店)金鑽牛有限公司,21,\N,新北市中和區碧河里連城路224號1樓
72465763,年代數碼科技有限公司,253,\N,高雄市左營區博愛二路150號12樓
1740247,聯宗保全股份有限公司,16,\N,台北市內湖區內湖路二段367號6樓
71955499,伊特妮有限公司(Adore Cosmetics),259,10,高雄市苓雅區四維四路199號12樓A3室
67324489,英屬蓋曼群島商佳醫股份有限公司台灣分公司,21,46,新北市中和區中正路880號17樓之5
51447295,維康醫療用品 _美德耐股份有限公司,11,1200,台北市大安區延吉街239號3樓
5877,鼎鼎大飯店股份有限公司(香格里拉台北遠東飯店),11,600,台北市大安區敦化南路二段201號
71060143,誠新國際開發股份有限公司,10,100,台北市松山區南京東路三段260號4樓
73152561,京璽電子遊戲場業,216,10,台南市東區崇德路277號
72563181,鍋台銘時尚湯鍋(春日小火鍋店),48,\N,桃園市桃園區青溪里春日路343號
72191391,鰻魚日記MIAMANDAY_亮臻實業股份有限公司,258,20,高雄市新興區民權一路249號
50035331,福氣食品有限公司,16,80,台北市內湖區文湖街60巷32號
2786548,御祥股份有限公司,114,100,台中市南屯區文心路
73195222,好萊塢診所 (好萊塢造型微整診所),11,\N,台北市大安區鄭州路3號
36085713,有興國際股份有限公司,264,50,高雄市大寮區上寮路11號(大發工業區)
50500663,(衣哲服飾)劉正企業有限公司,113,\N,台中市西屯區永安一巷47之1號
8325515,進聯工業股份有限公司,20,1200,新北市新莊區中正路66號8樓
2133906,大學光學科技股份有限公司(大學眼鏡、大學眼科、大學醫美)(大學眼鏡、大學眼科、大學醫美),17,800,台北市南港區園區街3之1號G棟4樓(南港軟體科學園區)
69445279,"兆紅國際事業股份有限公司(舒油頭珍奶粉紅髮廊館,滷底撈麻將主題館,思鄉病台灣冠軍牛肉麵)",29,64,新北市五股區五權路39號3樓
69384144,旺全國際企業股份有限公司,310,\N,屏東縣長治鄉神農路101號
70023995,逗點教室(逗點教室),57,30,桃園市大園區中山南路265號
72519596,吉米達人國際餐飲有限公司(我們是一家來自臺東，具有39+年提供顧客用餐服務經驗歷史的餐飲公司。我們希望能將我們的臺東經驗，推廣),342,60,台東縣台東市中正里中正路289號1樓
10071030,衛普實業股份有限公司,275,320,高雄市永安區永工三路4號(永安工業區)
73088222,悠活房屋仲介有限公司(住商悠活團隊),329,\N,花蓮縣花蓮市林森路377號
67301053,長春藤牙醫診所(桃園),56,\N,桃園市龜山區復興一路212巷1號
73195273,傑拉德有限公司,113,\N,台中市西屯區福安里福泰街113號
10068362,集雅社股份有限公司(集雅社影音家電),259,300,高雄市苓雅區中正一路265號1樓
70471412,大來國際開發有限公司,137,\N,彰化縣員林市南潭路69巷3弄1號1樓
9910082,永覲工業股份有限公司,262,\N,高雄市小港區興業街15號(臨海工業區)
68006638,二水政信針織股份有限公司,158,\N,彰化縣二水鄉修仁村南通路二段75號
9528653,台灣愛德克股份有限公司,267,130,高雄市仁武區竹後里水管路87號
68826583,麗姿新極麗醫美診所(附 新莊麗姿添身醫美中心),20,20,新北市新莊區中港路263號1樓
51853465,香港商富吉多有限公司台灣分公司(FD健身網),112,\N,台中市北屯區北屯路366號7樓之1
72471850,世錩建設股份有限公司,68,10,新竹縣湖口鄉仁興路42號
71953429,生通股份有限公司,9,\N,台北市中山區民權東路一段55號6樓
72373895,勁翰科技股份有限公司(TOPWIN),25,25,新北市三峽區麻園37之6號
1346677,嘉捷科技企業股份有限公司(AOC、Philips),21,1600,新北市中和區連城路230號10樓
50928928,偉太健康科技有限公司(WATPURE),16,\N,台北市內湖區新湖二路8號5樓(內湖科技園區)
73158738,鉑硯國際有限公司(弟弟情趣),215,60,台南市中西區北門路一段69號
2190019,福華大飯店股份有限公司,11,900,台北市大安區仁愛路三段160號
69437803,永慶不動產關埔國小店,61,\N,新竹市東區慈濟路226號(新竹科學園區)
72533052,月恆國際投資股份有限公司,9,\N,台北市中山區中山北路二段52號11樓
2788388,永豐餘投資控股股份有限公司,7,3300,台北市中正區重慶南路二段51號14樓
69620604,新逸資訊科技有限公司,38,30,新北市汐止區新台五路一段99號10樓之6
69626629,翔聆資訊有限公司,162,10,南投縣南投市彰南路一段837號
35770881,泰安食品股份有限公司,264,\N,高雄市大寮區大有四街8號(大發工業區)
2765141,金車股份有限公司,7,2100,台北市中正區羅斯福路三段230號
70024175,立達國際徵信有限公司(立竿見影、使命必達的【徵信社推薦】首選),48,50,桃園市桃園區中平路102號2樓
69007443,新堡行,43,\N,新北市新店區
1795077,森昌有限公司,10,50,台北市松山區復興北路369號8樓
71959730,達人徵信社,\N,\N,暫不提供
71954630,凱心貿易有限公司(KT BIKER),\N,5,暫不提供
490216,三井資訊股份有限公司,48,300,桃園市桃園區中華路51號
942655,暉毅預力器材股份有限公司,191,25,雲林縣元長鄉五塊村北水路22之83號
69401508,潢填科技股份有限公司,64,20,新竹縣竹北市自強南路8號7樓之6
69396848,私立東森之星國際文理語文短期補習班,\N,\N,暫不提供
50018191,稻田營造有限公司,\N,40,暫不提供
52105211,創名聯合會計師事務所(Grand Power),9,\N,台北市中山區松江路50號7樓B室
942042,國裕生活股份有限公司,16,100,台北市內湖區舊宗路一段319號
305006,何嘉仁國際文教團隊(何嘉仁實業股份有限公司),9,4200,台北市中山區民權東路二段107號
50630054,信正儀器有限公司(信正儀器),56,\N,桃園市龜山區萬壽路二段580號3樓
50655639,高珍企業股份有限公司,268,\N,高雄市大樹區九曲里瓦厝街3巷52號
2900944,巨鎧實業股份有限公司,24,25,新北市樹林區鎮前街269巷29弄4號1樓
