job_id,job_name,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num
91548519,廠主管(污水處理廠)-竹北,4,40000,\N,4,0,9.00,1,1
91548142,管理部主任,4,30000,30000,3,0,9.50,1,1
91548052,高級社區經理(太平區),3,38000,42000,3,0,8,1,1
91547248,業務主管,4,40000,\N,3,0,8,1,1
91547223,綜管幹部-總公司中和區,3,38000,40000,2,0,8,1,0
91547058,營運部輔導專員,0,28000,30000,0,0,8.00,1,1
91546980,電子商務-部門主管,3,40000,\N,3,0,9.00,1,1
91546342,執行長特助,4,40000,50000,5,0,8,1,1
91536362,微風集團_餐飲事業營運主管,3,38000,45000,3,0,8,3,1
91532941,經營管理者(經理人),0,70000,70000,10,0,8,1,1
91532243,微風集團-百貨營業主管,3,40000,\N,5,0,8,1,1
91516438,儲備主管,3,40000,\N,0,0,9.00,1,2
91516062,西餐廳餐飲服務經理/副理,3,40000,\N,0,0,8.50,3,1
91503747,高級財務主管,3,80000,80000,5,0,8,1,1
91501833,獸醫主管(台南永康),5,40000,\N,10,0,8,1,1
91493417,總經理室特助(健檢專業),4,40000,\N,5,0,8,1,1
91487407,儲備主管,3,35000,35000,0,0,8,1,2
91486238,綜合管理類-Digital Twin 整合管理專案經理 (VSBG),5,40000,\N,10,0,8,1,1
91470612,總經理特助,4,40000,\N,10,0,8,1,1
91468414,企業高階管理主管,4,50000,50000,15,0,9.00,1,1
91466869,企業高階管理主管,4,50000,50000,15,0,9.00,1,1
91465831,經營分析管理師 (大雅),4,40000,\N,5,0,9.00,1,1
91460317,微風集團-營業招商理階主管,4,40000,\N,10,0,8,3,2
91434948,Operations Manager (請於NZXT官網投遞履歷),4,40000,\N,5,0,8,1,1
91432008,產品經理(PM),4,40000,\N,3,0,9.00,1,1
91431933,企業總部-營運管理 經理,4,35000,39000,2,0,9.00,1,1
91422970,【蛋寶生技】門市營運儲備幹部,3,33000,40000,3,0,9.00,1,2
91422426,Maison Kayser法式精品麵包-店長,3,35000,45000,3,0,8,3,1
91413693,外場領班,3,45000,60000,0,0,8,3,1
91301944,人資主管,4,40000,\N,5,0,8,1,1
91300283,(薪約35K起) 內湖區 保全公司管理幹部 ( 有無經驗均可.速洽黃總0983-761-000),3,35000,35000,0,0,8,1,3
91293504,微風集團-資深餐飲招商主管,3,40000,\N,5,0,8,1,2
91278372,Adore Cosmetics百貨專櫃店經理(高底薪+獎金),3,42000,100000,3,0,8,3,1
91270173,護理主管-八里,4,40000,\N,2,0,8,1,0
91261133,洗衣廠組廠長/廠務(杏光洗衣廠),3,35000,45000,3,0,8,1,2
91247457,宴會廳經理 (台北遠東飯店),3,40000,\N,7,0,8,3,1
91237367,營運主管及儲備幹部,3,36000,60000,0,0,9.50,1,10
91219653,儲備主管,0,31000,100000,0,0,8,3,0
91185430,鍋台銘時尚湯鍋-中壢店-儲備店長,0,38000,45000,3,0,8,3,1
91179375,儲備幹部/管理人員,3,34000,34000,3,0,10.50,3,1
91170105,廠長,0,45000,55000,1,0,10.00,1,1
91144013,【蛋寶生技】觀光工廠營運主管,4,40000,\N,5,0,9.00,1,3
86031509,管理部主任,4,50000,50000,5,0,8,1,1
86029154,DM醫美-店經理﹝高雄﹞,0,35000,50000,3,0,9.00,2,0
86029153,HW醫美-店經理﹝彰化﹞,0,35000,45000,3,0,9.00,2,0
86029150,DM醫美-店經理﹝板橋﹞,0,35000,50000,3,0,9.00,2,0
86029138,DM醫美-店經理﹝市府﹞,0,35000,50000,3,0,9.00,2,0
86029135,HW醫美-店經理﹝南西﹞,0,35000,45000,3,0,9.00,2,0
86029128,HW醫美-店經理﹝京站﹞,0,35000,45000,3,0,9.00,2,0
86007194,動物疫苗廠營運主管（屏東長治）,5,40000,\N,5,0,8,1,1
85978090,經理(台中分公司),4,40000,50000,5,0,9.00,1,1
85908465,【店長/區督導】全國直營/台中水湳門市,0,25000,50000,0,0,8,3,0
85900222,總經理室特別助理,4,40000,\N,10,0,9.00,1,1
85899120,【內湖大學眼科診所】眼科診所店經理-1,3,40000,\N,3,0,8,3,1
85893924,舒油頭-沏作戀萃-訓練督導,3,30000,40000,0,0,8,3,0
85893918,舒油頭-沏作戀萃-門市店長,3,38000,38000,0,0,8,3,0
85893912,舒油頭-沏作戀萃-營運督導,3,30000,40000,0,0,8,3,0
85877424,水產管理幹部,4,26000,56000,0,0,9.67,1,1
85170675,阿舍食品-廠務維修,3,35000,45000,3,0,8,1,1
85152265,儲備班主任,4,40000,40000,0,0,8,0,0
85147235,店長/ 門市主管/高階管理職,3,36000,50000,5,0,8,3,0
85112411,管理部主管,3,60000,80000,8,0,8,1,1
91488983,不動產估價助理,3,26000,26000,0,0,9.00,1,1
91549379,院長特助,4,35000,35000,0,0,8,0,1
91548533,秘書,0,25000,40000,0,0,8.50,1,1
91548219,營業管理師,4,26500,28000,1,0,9.00,1,1
91548137,秘書,0,25000,25000,0,0,9.00,1,1
91547580,總經理室特助,3,23800,32000,0,0,8,1,1
91547210,主管助理,4,23800,23800,1,0,8,1,1
91546916,總經理特助,4,40000,\N,5,0,8,1,1
91534807,(新莊區.兼職可.時薪165元~175元 ) 主管特助秘書 ( 會電腦文書.速洽副院長林小姐0935-918-018),3,165,165,0,1,5.00,1,1
91533741,(健身房門市)業務主管,0,40000,\N,0,0,8,1,1
91514651,特別助理,3,30000,30000,1,0,9.00,1,1
91505336,⊙管理部專員⊙,3,26000,30000,2,0,9.00,1,1
91481609,主管祕書（助理）,3,26000,30000,0,0,8,1,1
